# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/9 14:29:41;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;2.14577e-06;1;3.09944e-06;1;0;1;7.79629e-05;1;0.00745654;1000;0.006001;1001;0.0126655;1001;normal;none;lu;71786496;4096;41783296;440418304;1;0;serial_diffusion_lu;0.2;101;100;101;1000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/9 14:29:41;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;9.53674e-07;1;1.3113e-05;1;0;1;8.89301e-05;1;0.0163093;1000;0.006078;1001;0.0219662;1001;normal;none;cg;71921664;4096;41889792;440553472;6;9.62379e-17;serial_diffusion_cg;0.21;101;100;101;6755;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/9 14:29:41;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;1.19209e-06;1;3.8147e-06;1;0;1;8.70228e-05;1;0.0198777;1000;0.00598598;1001;0.0262966;1001;normal;none;gmres;71921664;4096;41742336;440553472;6;2.62648e-15;serial_diffusion_gmres;0.21;101;100;101;6734;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/9 14:29:42;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;1.90735e-06;1;3.8147e-06;1;0;1;7.98702e-05;1;0.0405011;1000;0.00732875;1001;0.0463083;1001;normal;gamg;preonly;71938048;4096;42110976;440569856;1;0;serial_diffusion_gamg;0.2;101;100;101;1000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/9 14:29:42;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;1.19209e-06;1;1.28746e-05;1;0;1;8.51154e-05;1;0.0300837;1000;0.00565529;1001;0.0354548;1001;normal;pchypre;cg;71933952;4096;42336256;440565760;5;3.94055e-15;serial_diffusion_boomeramg;0.21;101;100;101;5000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/9 14:29:42;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;1.90735e-06;1;4.05312e-06;1;0;1;0.00010705;1;0.00706172;1000;0.0061121;1001;0.0115678;1001;normal;none;lu;71942144;4096;41783296;440573952;1;0;serial_diffusion_lu;0.18;201;200;201;1000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/9 14:29:42;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;9.53674e-07;1;4.05312e-06;1;0;1;0.000102043;1;0.0182681;1000;0.00775671;1001;0.0231321;1001;normal;none;cg;71942144;4096;41717760;440573952;6;3.03652e-16;serial_diffusion_cg;0.2;201;200;201;7020;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/9 14:29:42;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;9.53674e-07;1;3.8147e-06;1;0;1;0.000110865;1;0.0248117;1000;0.00736642;1001;0.0304914;1001;normal;none;gmres;72126464;4096;42491904;440758272;6;2.53327e-15;serial_diffusion_gmres;0.21;201;200;201;7002;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/9 14:29:43;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;1.90735e-06;1;3.8147e-06;1;0;1;0.000105858;1;0.070873;1000;0.006387;1001;0.0774517;1001;normal;gamg;preonly;72212480;4096;43364352;440844288;1;0;serial_diffusion_gamg;0.25;201;200;201;1000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/9 14:29:43;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;6.91414e-06;1;1.50204e-05;1;0;1;9.5129e-05;1;0.0647185;1000;0.00694299;1001;0.0711007;1001;normal;pchypre;cg;71950336;4096;43372544;440582144;3;2.76428e-15;serial_diffusion_boomeramg;0.25;201;200;201;3000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/9 14:29:43;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;1.90735e-06;1;1.3113e-05;1;9.53674e-07;1;0.000188828;1;0.00708389;1000;0.0111871;1001;0.0116677;1001;normal;none;lu;72069120;4096;42639360;440700928;1;0;serial_diffusion_lu;0.2;501;500;501;1000;
