# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:05;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;2.14577e-06;1;5.00679e-06;1;9.53674e-07;1;0.000108004;1;0.0722599;10000;0.0105991;10001;0.12121;10001;normal;none;lu;71786496;4096;41832448;440418304;1;0;strong_scaling_diffusion_lu;0.33;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:06;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;2;0;1.81198e-05;1;0.00412416;1;9.53674e-07;1;0.000353813;1;0.117846;10000;0.0137198;10001;0.198144;10001;normal;none;lu;72044544;4096;43421696;587542528;1;0;strong_scaling_diffusion_lu;0.53;101;100;101;10000;
2019/8/20 11:10:06;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;2;1;2.98023e-05;1;2.00272e-05;1;9.53674e-07;1;0.00173593;1;0.117138;10000;0.0139837;10001;0.193471;10001;normal;none;lu;72077312;4096;43663360;587575296;1;0;strong_scaling_diffusion_lu;0.51;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:07;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;3;0;1.90735e-06;1;0.055928;1;0;1;0.000200987;1;0.121435;10000;0.0260034;10001;0.203423;10001;normal;none;lu;72065024;4096;43794432;591761408;1;0;strong_scaling_diffusion_lu;0.42;101;100;101;10000;
2019/8/20 11:10:07;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;3;1;1.90735e-06;1;0.029881;1;0;1;0.000210047;1;0.0986073;10000;0.0153966;10001;0.161568;10001;normal;none;lu;72105984;4096;43827200;591802368;1;0;strong_scaling_diffusion_lu;0.44;101;100;101;10000;
2019/8/20 11:10:07;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;3;2;1.90735e-06;1;2.09808e-05;1;0;1;0.000200987;1;0.0858355;10000;0.0143554;10001;0.139419;10001;normal;none;lu;72085504;4096;43610112;591781888;1;0;strong_scaling_diffusion_lu;0.42;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:07;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;4;0;1.90735e-06;1;0.054019;1;0;1;0.000298977;1;0.12047;10000;0.0176272;10001;0.214536;10001;normal;none;lu;72073216;4096;43458560;595968000;1;0;strong_scaling_diffusion_lu;0.48;101;100;101;10000;
