# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationInitCellml;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_0D;n;duration_1D;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;currentSimulationTime;dt_0D;dt_1D;dt_3D;endTime;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nInstancesComputedGlobally;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs1D;~nElements1D;~nNodes1D;nIterationsTotal_implicitSolver;
2019/8/26 10:37:53;lapsgs05;opendihu 1.0, build Aug 26 2019 10:23:56, C++ 201402, GCC 7.4.0;1;0;2.006e-06;1;0.991515;1;0.508137;11;2.551e-06;1;2.04e-07;1;0.000183662;1;0.0782556;10002;0.511095;16673;1.99669;13336;0.11911;13336;2.14626;1;2.00295;6668;0.127828;3334;0.00224852;3334;0.00176655;3334;10.000000;0.00299401;0.001;0.0029994;10;normal;none;cg;159035392;4096;103477248;650010624;1;5;4.42828e-09;nodes_100;2.99;100;99;100;51365;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationInitCellml;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_0D;n;duration_1D;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;currentSimulationTime;dt_0D;dt_1D;dt_3D;endTime;exit;exit_signal;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nInstancesComputedGlobally;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs1D;~nElements1D;~nNodes1D;nIterationsTotal_implicitSolver;
2019/8/26 10:40:51;lapsgs05;opendihu 1.0, build Aug 26 2019 10:23:56, C++ 201402, GCC 7.4.0;1;0;1.937e-06;1;0.954069;1;0.0129487;23;2.485e-06;1;2.66e-07;1;0.000864739;1;0.796025;22614;0.024784;37692;43.8717;30152;1.02926;30152;0;0;43.8981;15076;1.06325;7538;0.013729;7538;0.00746921;7538;22.613548;0.00299401;0.001;0.00299994;100;Interrupt;2;none;cg;159485952;4096;104009728;650457088;1;6;3.87944e-08;nodes_100;45.88;1000;999;1000;129656;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationInitCellml;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_0D;n;duration_1D;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;currentSimulationTime;dt_0D;dt_1D;dt_3D;endTime;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nInstancesComputedGlobally;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs1D;~nElements1D;~nNodes1D;nIterationsTotal_implicitSolver;
2019/8/26 10:42:46;lapsgs05;opendihu 1.0, build Aug 26 2019 10:23:56, C++ 201402, GCC 7.4.0;1;0;1.778e-06;1;0.952111;1;0.00419727;21;3.329e-06;1;1.81e-07;1;0.000426926;1;0.339821;20001;0.0101412;33338;15.6572;26668;0.456666;26668;16.1868;1;15.672;13334;0.475436;6667;0.00590261;6667;0.00424323;6667;20.000000;0.00299401;0.001;0.00299985;20;normal;none;cg;167112704;4096;111149056;658087936;1;4;6.82271e-09;nodes_100;17.03;400;399;400;115061;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationInitCellml;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_0D;n;duration_1D;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;currentSimulationTime;dt_0D;dt_1D;dt_3D;endTime;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nInstancesComputedGlobally;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs1D;~nElements1D;~nNodes1D;nIterationsTotal_implicitSolver;
2019/8/26 10:45:14;lapsgs05;opendihu 1.0, build Aug 26 2019 10:23:56, C++ 201402, GCC 7.4.0;1;0;1.294e-06;1;0.00697133;1;0.0118858;21;3.331e-06;1;1.06e-07;1;0.000374032;1;0.313633;20001;0.0179424;33338;15.3927;26668;0.422478;26668;15.8896;1;15.4065;13334;0.448393;6667;0.00470509;6667;0.00400919;6667;20.000000;0.00299401;0.001;0.00299985;20;normal;none;cg;114352128;4096;59158528;605327360;1;3;4.94449e-08;nodes_100;16.12;400;399;400;109888;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationInitCellml;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_0D;n;duration_1D;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;currentSimulationTime;dt_0D;dt_1D;dt_3D;endTime;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nInstancesComputedGlobally;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs1D;~nElements1D;~nNodes1D;nIterationsTotal_implicitSolver;
2019/8/26 11:12:51;lapsgs05;opendihu 1.0, build Aug 26 2019 10:23:56, C++ 201402, GCC 7.4.0;1;0;1.888e-06;1;0.0882426;1;0.00422042;21;2.709e-06;1;2.83999e-07;1;0.000394342;1;0.200039;20001;0.0101733;33338;2.54305;26668;0.307862;26668;2.9108;1;2.55467;13334;0.32582;6667;0.00432735;6667;0.00368386;6667;20.000000;0.00299401;0.001;0.00299985;20;normal;none;cg;113090560;4096;57294848;604061696;1;2;2.54168e-08;nodes_100;3.16;400;399;400;52865;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationInitCellml;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_0D;n;duration_1D;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;currentSimulationTime;dt_0D;dt_1D;dt_3D;endTime;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nInstancesComputedGlobally;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs1D;~nElements1D;~nNodes1D;nIterationsTotal_implicitSolver;
2019/8/26 11:14:20;lapsgs05;opendihu 1.0, build Aug 26 2019 10:23:56, C++ 201402, GCC 7.4.0;1;0;1.874e-06;1;0.00384023;1;0.0199863;101;2.874e-06;1;2.60001e-07;1;0.000386663;1;0.709251;100002;0.0496606;166673;12.4559;133336;1.23196;133336;14.0002;1;12.5147;66668;1.32091;33334;0.0221609;33334;0.0214359;33334;100.000000;0.00299401;0.001;0.00299994;100;normal;none;cg;113090560;4096;57024512;604061696;1;3;4.25818e-08;nodes_100;14.2;400;399;400;158008;
