# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationComputeMappingBetweenMeshes;n;durationInitCellml;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview1DReduction;n;durationParaview1DWrite;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_activationSolver;n;durationSolve_potentialFlowSolver;n;durationWriteOutput;n;durationWriteOutputParaview;n;duration_0D;n;duration_1D;n;duration_bidomain;n;duration_subdomains_xy_init;n;duration_subdomains_z_init;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;activationSolver_preconditionerType;activationSolver_solverType;currentSimulationTime;dt_0D;dt_1D;dt_3D;dt_splitting;duration_subdomains_xy_n;duration_subdomains_z_n;endTime;exit;exit_signal;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;meta_partitioning;nInstancesComputedGlobally;nIterations_activationSolver;nIterations_potentialFlowSolver;potentialFlowSolver_preconditionerType;potentialFlowSolver_solverType;residualNorm_activationSolver;residualNorm_potentialFlowSolver;scenarioName;totalUsertime;~nDofs;~nDofs3Dmesh;~nDofsFiber0;~nElements;~nElements3Dmesh;~nElementsFiber0;~nNodes;~nNodes3Dmesh;~nNodesFiber0;nIterationsTotal_activationSolver;nIterationsTotal_potentialFlowSolver;
2021/1/21 22:31:45;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;1;0;0.00227787;172;9.83715;169;0.111989;169;1.01789;4225;0.0516238;25;0.00110397;25;4.96878;50;0.00293407;5;4.42402e-06;1;2.84538;25;0.0217949;50;3.45098e-05;4;0.00600552;50;0.00569396;5;3.60503e-06;1;0.00647605;25;5.00128;50;0.0257663;1;1.38283e-05;172;0.329392;172;0.0485577;25;0.00954906;1;5.00215;414;5.00195;75;1343.31;666700;497.234;300015;0.0499199;25;0.509477;1;0.179306;1;1857.53;1;1846.45;25;0.0733706;25;10.9935;25;0.00568107;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;169;10;normal;;none;cg;461230080;4096;468934656;882913280;[1, 1, 1];169;72;219;none;gmres;0.033541;9.65283e-10;vc-1;1857.68;1481;1519;1481;1480;1080;1480;1481;1519;1481;1722;219;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationComputeMappingBetweenMeshes;n;durationInitCellml;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview1DReduction;n;durationParaview1DWrite;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_activationSolver;n;durationSolve_potentialFlowSolver;n;durationWriteOutput;n;durationWriteOutputParaview;n;duration_0D;n;duration_1D;n;duration_bidomain;n;duration_subdomains_xy_init;n;duration_subdomains_z_init;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;activationSolver_preconditionerType;activationSolver_solverType;currentSimulationTime;dt_0D;dt_1D;dt_3D;dt_splitting;duration_subdomains_xy_n;duration_subdomains_z_n;endTime;exit;exit_signal;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;meta_partitioning;nInstancesComputedGlobally;nIterations_activationSolver;nIterations_potentialFlowSolver;potentialFlowSolver_preconditionerType;potentialFlowSolver_solverType;residualNorm_activationSolver;residualNorm_potentialFlowSolver;scenarioName;totalUsertime;~nDofs;~nDofs3Dmesh;~nDofsFiber0;~nElements;~nElements3Dmesh;~nElementsFiber0;~nNodes;~nNodes3Dmesh;~nNodesFiber0;nIterationsTotal_activationSolver;nIterationsTotal_potentialFlowSolver;
2021/1/21 22:47:50;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;2;0;0.00194767;172;1.9006;169;0.127032;169;0.523901;4225;0.233912;25;0.00112431;25;2.85702;50;0.00279729;5;1.0394e-05;1;1.51844;25;0.02092;50;3.8647e-05;4;0.00619915;50;0.00570768;5;5.39492e-06;1;0.00483001;25;2.88924;50;0.016431;1;1.37334e-05;172;0.199611;172;0.0305444;25;0.00556708;1;2.89014;414;2.88996;75;685.738;666700;267.924;300015;0.0339072;25;0.502065;1;0.211999;1;959.988;1;957.206;25;0.0571666;25;2.71717;25;0.00569874;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;169;10;normal;;none;cg;352841728;4096;347459584;785047552;[1, 1, 2];169;73;226;none;gmres;0.0352274;8.08604e-10;vc-2;960.5;1481;1519;1481;1480;1080;1480;1481;1519;1481;1765;226;
2021/1/21 22:47:50;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;2;1;0.00193952;172;2.06632;169;0.125712;169;0.516453;4225;0.0419243;25;0.045991;25;2.85129;50;0.00363712;5;0.000843937;1;1.5184;25;0.0196441;50;3.61321e-05;4;0.00615408;50;0.00577851;5;5.7339e-05;1;0.00483557;25;2.88331;50;0.0184569;1;1.51665e-05;172;0.199613;172;0.0305429;25;0.00556641;1;2.88423;414;2.88404;75;677.542;666700;266.142;300015;0.031597;25;0.500204;1;0.210198;1;959.988;1;957.202;25;0.05484;25;2.7254;25;0.00558904;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;169;10;normal;;none;cg;358699008;4096;352858112;790900736;[1, 1, 2];169;73;226;none;gmres;0.0352274;8.08604e-10;vc-2;963.93;1481;1519;1481;1480;1080;1480;1481;1519;1481;1765;226;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationComputeMappingBetweenMeshes;n;durationInitCellml;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview1DReduction;n;durationParaview1DWrite;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_activationSolver;n;durationSolve_potentialFlowSolver;n;durationWriteOutput;n;durationWriteOutputParaview;n;duration_0D;n;duration_1D;n;duration_bidomain;n;duration_subdomains_xy_init;n;duration_subdomains_z_init;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;activationSolver_preconditionerType;activationSolver_solverType;currentSimulationTime;dt_0D;dt_1D;dt_3D;dt_splitting;duration_subdomains_xy_n;duration_subdomains_z_n;endTime;exit;exit_signal;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;meta_partitioning;nInstancesComputedGlobally;nIterations_activationSolver;nIterations_potentialFlowSolver;potentialFlowSolver_preconditionerType;potentialFlowSolver_solverType;residualNorm_activationSolver;residualNorm_potentialFlowSolver;scenarioName;totalUsertime;~nDofs;~nDofs3Dmesh;~nDofsFiber0;~nElements;~nElements3Dmesh;~nElementsFiber0;~nNodes;~nNodes3Dmesh;~nNodesFiber0;nIterationsTotal_activationSolver;nIterationsTotal_potentialFlowSolver;
2021/1/21 22:56:55;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;4;0;0.0022103;94;0.522864;91;0.0690649;91;0.284881;2275;0.665359;25;0.000605469;25;1.3102;50;0.00077629;5;3.0374e-05;1;0.911124;25;0.0282409;50;1.82501e-05;4;0.00332825;50;0.00140046;5;5.36896e-06;1;0.0135591;25;1.34601;50;0.0554973;1;8.44186e-06;94;0.138223;94;0.0256041;25;0.00678653;1;1.34677;258;1.34661;75;382.183;666700;155.06;300015;0.0277384;25;0.272757;1;0.114939;1;540.597;1;539.023;25;0.0614651;25;1.50807;25;0.00318;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;91;10;normal;;none;cg;218599424;4096;222728192;659202048;[2, 1, 2];91;75;280;none;gmres;0.0329154;8.9433e-10;vc-4;541.09;1481;1736;1481;1480;1260;1480;1481;1736;1481;1797;280;
2021/1/21 22:56:55;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;4;1;0.00219545;81;0.587993;78;0.0597516;78;0.239751;1950;0.614257;25;0.0415489;25;95.2639;50;0.00156426;5;0.000949263;1;0.911127;25;0.0267407;50;1.8387e-05;4;0.00297785;50;0.00126087;5;5.9189e-05;1;0.0135609;25;95.2988;50;0.0603264;1;6.93731e-06;81;0.132141;81;0.025601;25;0.00679842;1;95.2996;232;95.2994;75;312.108;666700;131.223;300015;0.0277936;25;0.234241;1;0.0990497;1;540.598;1;539.021;25;0.0615;25;1.51236;25;0.00269096;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;78;10;normal;;none;cg;197160960;4096;203137024;637763584;[2, 1, 2];78;75;280;none;gmres;0.0329154;8.9433e-10;vc-4;544.07;1481;1736;1480;1260;1481;1736;1797;280;
2021/1/21 22:56:55;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;4;2;0.00220749;94;1.13664;91;0.0676847;91;0.275876;2275;0.0283039;25;0.0390864;25;1.30662;50;0.00165844;5;0.000951579;1;0.911132;25;0.026922;50;1.94898e-05;4;0.00326882;50;0.00146229;5;6.0422e-05;1;0.0135684;25;1.34228;50;0.054116;1;7.80623e-06;94;0.138235;94;0.0255972;25;0.00679852;1;1.34302;258;1.34285;75;373.449;666700;151.53;300015;0.0264586;25;0.271601;1;0.113834;1;540.597;1;539.021;25;0.0601788;25;1.51312;25;0.00311355;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;91;10;normal;;none;cg;218021888;4096;222281728;658620416;[2, 1, 2];91;75;280;none;gmres;0.0329154;8.9433e-10;vc-4;544.13;1481;1736;1481;1480;1260;1480;1481;1736;1481;1797;280;
2021/1/21 22:56:55;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;4;3;0.00219827;81;0.656095;78;0.0584195;78;0.237827;1950;0.549843;25;0.0398001;25;95.2648;50;0.00156973;5;0.000951673;1;0.911291;25;0.0267701;50;1.6692e-05;4;0.00298494;50;0.00126821;5;5.8816e-05;1;0.0137191;25;95.2998;50;0.0599627;1;6.92694e-06;81;0.132142;81;0.0256035;25;0.00679783;1;95.3006;232;95.3004;75;307.069;666700;131.014;300015;0.0268449;25;0.233042;1;0.0978567;1;540.598;1;539.022;25;0.0605833;25;1.51231;25;0.00268265;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;78;10;normal;;none;cg;194363392;4096;199749632;634961920;[2, 1, 2];78;75;280;none;gmres;0.0329154;8.9433e-10;vc-4;544.13;1481;1736;1480;1260;1481;1736;1797;280;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationComputeMappingBetweenMeshes;n;durationInitCellml;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview1DReduction;n;durationParaview1DWrite;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_activationSolver;n;durationSolve_potentialFlowSolver;n;durationWriteOutput;n;durationWriteOutputParaview;n;duration_0D;n;duration_1D;n;duration_bidomain;n;duration_subdomains_xy_init;n;duration_subdomains_z_init;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;activationSolver_preconditionerType;activationSolver_solverType;currentSimulationTime;dt_0D;dt_1D;dt_3D;dt_splitting;duration_subdomains_xy_n;duration_subdomains_z_n;endTime;exit;exit_signal;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;meta_partitioning;nInstancesComputedGlobally;nIterations_activationSolver;nIterations_potentialFlowSolver;potentialFlowSolver_preconditionerType;potentialFlowSolver_solverType;residualNorm_activationSolver;residualNorm_potentialFlowSolver;scenarioName;totalUsertime;~nDofs;~nDofs3Dmesh;~nDofsFiber0;~nElements;~nElements3Dmesh;~nElementsFiber0;~nNodes;~nNodes3Dmesh;~nNodesFiber0;nIterationsTotal_activationSolver;nIterationsTotal_potentialFlowSolver;
2021/1/21 23:02:11;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;8;0;0.00253375;52;0.199262;49;0.039602;49;0.161971;1225;0.34598;25;0.000588423;25;0.708287;25;0.000271987;3;2.2525e-05;1;0.531362;25;0.000590986;25;1.1347e-05;2;0.00140233;25;0.000477824;2;0.0;0;0.0;0;0.711446;25;0.168747;1;6.35989e-06;52;0.0971193;52;0.0325517;25;0.00873031;1;0.711969;149;0.711838;50;209.147;666700;84.9687;300015;0.0341391;25;0.156391;1;0.0664705;1;295.99;1;295.221;25;0.0342128;25;0.730926;25;0.00173619;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;49;10;normal;;none;cg;141426688;4096;150499328;598798336;[2, 2, 2];49;79;343;none;gmres;0.034549;9.43542e-10;vc-8;296.34;1481;1984;1481;1480;1470;1480;1481;1984;1481;1913;343;
