# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationComputeMappingBetweenMeshes;n;durationInitCellml;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview1DReduction;n;durationParaview1DWrite;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_activationSolver;n;durationSolve_potentialFlowSolver;n;durationWriteOutput;n;durationWriteOutputParaview;n;duration_0D;n;duration_1D;n;duration_bidomain;n;duration_subdomains_xy_init;n;duration_subdomains_z_init;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;activationSolver_preconditionerType;activationSolver_solverType;currentSimulationTime;dt_0D;dt_1D;dt_3D;dt_splitting;duration_subdomains_xy_n;duration_subdomains_z_n;endTime;exit;exit_signal;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;meta_partitioning;nInstancesComputedGlobally;nIterations_activationSolver;nIterations_potentialFlowSolver;potentialFlowSolver_preconditionerType;potentialFlowSolver_solverType;residualNorm_activationSolver;residualNorm_potentialFlowSolver;scenarioName;totalUsertime;~nDofs;~nDofs3Dmesh;~nDofsFiber0;~nElements;~nElements3Dmesh;~nElementsFiber0;~nNodes;~nNodes3Dmesh;~nNodesFiber0;nIterationsTotal_activationSolver;nIterationsTotal_potentialFlowSolver;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;0;0.00619374;12;0.0362363;9;20.9228;9;0.198501;900;0.109343;100;0.0290295;100;904.463;100;17.7966;3;17.7966;1;1.09451;100;0.000934974;100;8.003e-06;2;0.00325134;100;0.000104832;2;0.0;0;0.0;0;904.47;100;0.324164;1;3.596e-06;12;0.0427901;12;0.47443;100;0.016842;1;904.475;219;904.473;200;1330.27;800000;30.0218;360000;0.515808;100;21.0938;1;21.0395;1;2378.3;1;2377.02;100;0.516596;100;0.752479;100;0.00191897;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;9;10;normal;;none;cg;112730112;4096;128315392;652042240;[3, 3, 3];9;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2380.27;1481;775;1481;1480;480;1480;1481;775;1481;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;1;0.00618773;9;0.0101093;6;20.2214;6;0.115144;600;0.359813;100;0.0405576;100;1479.62;100;0.504153;3;0.504107;1;1.09249;100;0.000483709;100;1.0722e-05;2;0.00183732;100;4.3442e-05;2;0.0;0;0.0;0;1479.62;100;0.321366;1;3.591e-06;9;0.0383092;9;0.47268;100;0.016992;1;1479.63;213;1479.63;200;766.253;800000;15.5733;360000;0.518766;100;20.3251;1;20.2925;1;2378.3;1;2377;100;0.51952;100;0.771386;100;0.00121852;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;6;10;normal;;none;cg;90972160;4096;106655744;630284288;[3, 3, 3];6;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2412.51;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;2;0.00618549;9;0.028407;6;21.792;6;0.108615;600;0.291238;100;0.0392247;100;1347.51;100;0.504083;3;0.504041;1;1.09262;100;0.000777304;100;1.953e-06;2;0.00209705;100;4.3393e-05;2;0.0;0;0.0;0;1347.51;100;0.348486;1;2.908e-06;9;0.0385997;9;0.47617;100;0.0168647;1;1347.52;213;1347.51;200;917.739;800000;19.8964;360000;0.554236;100;21.902;1;21.8647;1;2378.3;1;2377;100;0.55502;100;0.734314;100;0.00124737;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;6;10;normal;;none;cg;90988544;4096;106299392;630300672;[3, 3, 3];6;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2412.51;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;3;0.00626128;9;0.0219335;6;20.3604;6;0.111292;600;0.3887;100;0.0400055;100;1505.92;100;0.504151;3;0.504111;1;1.09261;100;0.000616528;100;8.147e-06;2;0.00164696;100;5.2536e-05;2;0.0;0;0.0;0;1505.93;100;0.29;1;3.69e-06;9;0.0404752;9;0.473905;100;0.0170292;1;1505.93;213;1505.93;200;747.845;800000;15.4625;360000;0.522213;100;20.4661;1;20.4314;1;2378.3;1;2377.01;100;0.52299;100;0.768096;100;0.00127196;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;6;10;normal;;none;cg;91009024;4096;107147264;630321152;[3, 3, 3];6;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2412.08;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;4;0.00618589;7;0.0209669;4;21.9898;4;0.0735251;400;0.473639;100;0.0398224;100;1474.68;100;0.5041;3;0.504066;1;1.0929;100;0.000207062;100;5.633e-06;2;0.00152081;100;4.1147e-05;2;0.0;0;0.0;0;1474.68;100;0.351498;1;2.833e-06;7;0.0352209;7;0.471517;100;0.0169626;1;1474.69;209;1474.69;200;881.152;800000;20.4133;360000;0.520468;100;22.0572;1;22.038;1;2378.3;1;2377.01;100;0.521208;100;0.770928;100;0.00088651;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;4;10;normal;;none;cg;76771328;4096;93052928;616083456;[3, 3, 3];4;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2413.14;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;5;0.0061812;7;0.00696613;4;19.7851;4;0.0971996;400;0.415504;100;0.0423931;100;1372.7;100;0.504157;3;0.504122;1;1.09326;100;0.000444146;100;2.828e-06;2;0.00169737;100;2.7293e-05;2;0.0;0;0.0;0;1372.7;100;0.148352;1;2.664e-06;7;0.0356692;7;0.473916;100;0.0168646;1;1372.71;209;1372.7;200;980.967;800000;22.5434;360000;0.559257;100;19.8499;1;19.8295;1;2378.3;1;2377.01;100;0.560054;100;0.731671;100;0.000958544;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;4;10;normal;;none;cg;76603392;4096;91824128;615915520;[3, 3, 3];4;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2416.55;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;6;0.00619661;9;0.0291656;6;20.251;6;0.0969924;600;0.337364;100;0.0382466;100;1590.01;200;0.504147;5;0.50408;1;1.09314;100;0.283248;200;2.8798e-05;4;0.0207862;200;7.7241e-05;5;1.8805e-05;1;0.138061;100;1590.33;200;0.318659;1;3.347e-06;9;0.039013;9;0.47797;100;0.0170896;1;1590.34;313;1590.33;300;746.528;800000;15.4904;360000;0.563412;100;20.3691;1;20.3329;1;2378.3;1;2376.65;100;0.922638;100;0.728268;100;0.00149078;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;6;10;normal;;none;cg;140595200;4096;114331648;679907328;[3, 3, 3];6;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2411.96;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;7;0.00617828;7;0.00982121;4;16.8075;4;0.069757;400;0.488307;100;0.04138;100;1600.69;200;0.504187;5;0.504129;1;1.09346;100;0.268798;200;5.237e-06;4;0.0200851;200;0.000196601;5;0.000153172;1;0.136873;100;1601.02;200;0.137567;1;2.87e-06;7;0.0357272;7;0.475012;100;0.0170673;1;1601.02;309;1601.02;300;759.831;800000;15.4694;360000;0.565982;100;16.8935;1;16.8578;1;2378.3;1;2376.65;100;0.925825;100;0.725957;100;0.000990143;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;4;10;normal;;none;cg;83533824;4096;99692544;622845952;[3, 3, 3];4;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2415.92;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;8;0.00618271;7;0.00606899;4;21.3875;4;0.0898831;400;0.426169;100;0.042092;100;269.643;200;0.00054545;5;0.000496338;1;1.09341;100;0.270295;200;4.702e-06;4;0.0200961;200;0.000202451;5;0.000155851;1;0.136966;100;269.956;200;0.343802;1;3.187e-06;7;0.035999;7;0.475648;100;0.0169994;1;269.962;309;269.961;300;910.252;800000;19.7292;360000;0.556199;100;21.4596;1;21.4379;1;2378.3;1;2376.66;100;0.905084;100;0.737485;100;0.0010796;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;4;10;normal;;none;cg;83439616;4096;99393536;622751744;[3, 3, 3];4;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2412.61;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;9;0.00620554;12;0.0361942;9;20.9249;9;0.180231;900;0.256284;100;0.0194116;100;904.445;100;18.2999;3;18.2998;1;1.09449;100;0.000548401;100;2.693e-06;2;0.00194243;100;6.6839e-05;2;0.0;0;0.0;0;904.449;100;0.156215;1;3.894e-06;12;0.0428612;12;0.473193;100;0.0169976;1;904.453;219;904.452;200;1268.51;800000;27.4057;360000;0.48818;100;21.0944;1;21.0397;1;2378.3;1;2377;100;0.48883;100;0.800945;100;0.00174399;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;9;10;normal;;none;cg;112832512;4096;128516096;652144640;[3, 3, 3];9;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2433.9;1481;775;1481;1480;480;1480;1481;775;1481;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;10;0.00618585;9;0.0158554;6;20.2229;6;0.115303;600;0.397281;100;0.0352523;100;1479.62;100;18.2999;3;18.2999;1;1.09264;100;0.000481188;100;1.2029e-05;2;0.00164951;100;4.8861e-05;2;0.0;0;0.0;0;1479.62;100;0.13348;1;2.825e-06;9;0.0383789;9;0.471787;100;0.0170415;1;1479.63;213;1479.63;200;771.742;800000;15.516;360000;0.491482;100;20.3256;1;20.2934;1;2378.3;1;2377;100;0.492275;100;0.79936;100;0.00124208;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;6;10;normal;;none;cg;91222016;4096;107061248;630534144;[3, 3, 3];6;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2432.84;1481;775;1480;480;1481;775;7500;296;
